"n","Endereços 

* Loja Online (este contato), enviamos para todo o Brasil e pode estar fazendo o pedido por aqui e retirando em uma de nossas lojas.

Temos lojas físicas de atacado no:

* Feirão Moda Rio
Rod. Washington Luiz, 1308 - Jardim Gramacho
Box 135: Corredor D/E (2° andar)
Loja 107: Próxima ao estacionamento
Quarta, Sexta e Sábado
↳ 08:00 às 17:30

* Feirão de Malhas
Rod. Washington Luiz, 6720 - Jardim Gramacho
Loja 127: Corredor principal
Quarta, Sexta e Sábado
↳ 08:00 às 17:30
ㅤ

Temos lojas físicas de varejo em:

* Magé
Loja: R. Dr. Siqueira
Segunda à Sábado
↳ 9:00 às 19:00

* Piabetá
Loja 1: 193 Av. Santos Dumont
Loja 2: 137 R. Santa Elisa
Segunda à Sábado.
↳ 9:00 às 19:00

* Alcântara
Loja: Rua Yolanda Saad Abuzaid, 150
Segunda à Sábado
↳ 9:00 às 19:00%key:enter%","Endereços "
"o","Pode nos enviar seu CEP para consultarmos o valor e o prazo de entrega?%key:enter%","CEP"
"p","https://shopee.com.br/shop/1287155110%key:enter%","Link Shopee"
"q","https://www.cronicasjeans.com.br%key:enter%","Link Site"
"r","Utilizamos o boleto bancário como forma de pagamento. Você pode parcelar em quantas vezes o seu banco permitir.
Não cobramos juros. Caso apareça algum valor adicional, ele é exclusivamente do banco responsável pelo parcelamento.
A única taxa que cobramos é de R$ 2,50, referente à emissão do boleto.
Qualquer dúvida, fico à disposição para ajudar! 💼✨%key:enter%","Funcionamento Boleto "
